comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Shekhar difficulty,d',60,1.0,1.1287267417022424e-16,2.4026348078675366e-16,-9.806970050855549e-17,8.881784197001252e-16,0
Shekhar difficulty,Criterion,60,1.0,8.858654550654895e-17,1.4112875507211373e-16,3.2612801348363975e-17,5.551115123125783e-16,0
Shekhar difficulty,Confidence,60,0.9999989929721035,0.0014331997809870192,0.0020144772076074896,-0.0014331997809870192,0.005252100840336116,0
Shekhar metacognitive bias,meta-d',120,0.9999773860859351,0.002433117478613508,0.0042897188680292775,0.00031191668995348467,0.019559295790937847,0
Shekhar metacognitive bias,AUC2,120,0.9999719496948027,0.000295763153520127,0.0006137556835756765,4.485783749829849e-05,0.002879921900423188,0
Shekhar metacognitive bias,Gamma,120,0.9999684876706445,0.0007588109073019567,0.001521308519087776,0.00019164186970630585,0.006711386073622316,0
Shekhar metacognitive bias,Phi,120,0.9999480070991927,0.0005351061164110712,0.0008525080895233538,-1.4816896509533353e-05,0.0032566718519057014,0
Shekhar metacognitive bias,ΔConf,120,0.9999806900211052,0.0018852460752388019,0.003043394773440071,-0.00021966495767582287,0.01314676212170518,0
Shekhar metacognitive bias,M-Ratio,120,0.9999381856413185,0.0016749509537336484,0.0028209597092147794,0.00021837968544563847,0.008692847284196281,0
Shekhar metacognitive bias,AUC2-Ratio,120,0.9999268877134421,0.0004069127235499949,0.0008006705255617196,5.886839110083308e-05,0.0032887845816262917,0
Shekhar metacognitive bias,Gamma-Ratio,120,0.9999288832205079,0.0013890483782738531,0.0026681568920221763,0.00018350356443809317,0.010074711763808697,0
Shekhar metacognitive bias,Phi-Ratio,120,0.9998974161436717,0.0020419022295557433,0.0034438137848148897,0.00023989550061603813,0.01397326392566578,0
Shekhar metacognitive bias,ΔConf-Ratio,120,0.9998929159377129,0.0022148138927893294,0.0038613499290674137,0.00028855497790914543,0.019829435016275543,0
Shekhar metacognitive bias,M-Diff,120,0.9999516750769956,0.002433117478613458,0.004289718868029326,0.0003119166899536401,0.01955929579093829,0
Shekhar metacognitive bias,AUC2-Diff,120,0.9999268140936368,0.0002971838950780135,0.0006106956702655042,5.08030043640408e-05,0.0027891251469193135,0
Shekhar metacognitive bias,Gamma-Diff,120,0.9999311285521331,0.0007408542092989721,0.0014559215273135047,0.00011626905674747557,0.006385208275320409,0
